Aspidochelon|293|5|Cerobi Steppe|Feddick River|42|Adamantine Trophy|Scarletite||https://finalfantasy.fandom.com/wiki/Aspidochelon_(Final_Fantasy_XII)
Aerieel|294|5|Lhusu Mines|Ottam Span|12|Bat Fang, Golden Armor|Bat Wing|Taurus Gem|https://finalfantasy.fandom.com/wiki/Aerieel
Thalassinon|295|4|Phon Coast|The Vaddu Strand|38|Shelled Trophy|Adamantite||https://finalfantasy.fandom.com/wiki/Thalassinon_(Final_Fantasy_XII)
Anubys|296|5|Sochen Cave Palace|Mirror of the Soul|38|Ensanguined Trophy|Vampyr Fang||https://finalfantasy.fandom.com/wiki/Anubys_(Final_Fantasy_XII)
Greeden|297|3|Dalmasca Estersand|Bank of the Nebra|31|Braid Wool, Blood Wool|Wind Crystal|Blood Wool|https://finalfantasy.fandom.com/wiki/Greeden
Barmuu|298|3|Tomb of Raithwall|Royal Passage|19|Solid Stone, Betelgeuse|Lamia's Tiara|Quality Stone|https://finalfantasy.fandom.com/wiki/Barmuu
Bull Croc|299|5|Ozmone Plain|The Shred|23|Braid Wool, Demon Mail|Blood Wool|Broken Sword|https://finalfantasy.fandom.com/wiki/Bull_Croc
Vishno|300|2|The Pharos|First Ascent (Wellspring Ravel - 4th Flight)|57|Solid Stone, Ribbon|Orichalcum||https://finalfantasy.fandom.com/wiki/Vishno
Gavial|301|4|Garamsythe Waterway|No. 10 Channel|46|Fur-scaled Trophy|Antarctic Wind||https://finalfantasy.fandom.com/wiki/Gavial_(Final_Fantasy_XII)
Etherian|302|2|Cerobi Steppe|The Northsward|42|Green Liquid, Silver Liquid|Ame-no-Murakami|Unpurified Ether|https://finalfantasy.fandom.com/wiki/Etherian
Wary Wolf|303|5|Mosphoran Highwaste|Summit Path|34|Wolf Pelt, Power Armlet|Prime Pelt|Hell's Gate Flame|https://finalfantasy.fandom.com/wiki/Wary_Wolf
Melt|304|5|Henne Mines|Crossover B|48|Slimy Trophy|Hastega Mote||https://finalfantasy.fandom.com/wiki/Melt_(Final_Fantasy_XII)
Kaiser Wolf|305|3|Dalmasca Westersand|Corridor of Sand|41|Fanged Trophy|Throat Wolf Blood||https://finalfantasy.fandom.com/wiki/Kaiser_Wolf
Cubus|306|2|Sochen Cave Palace|Temptation Eluded|37|Green Liquid, Holy Mote|Silver Liquid||https://finalfantasy.fandom.com/wiki/Cubus
Lindbur Wolf|307|2|Dalmasca Westersand|Galtea Downs|16|Wolf Pelt, Prime Pelt|Gladius|Libra Gem|https://finalfantasy.fandom.com/wiki/Lindbur_Wolf
Pineapple|308|5|Ogir-Yensa Sandea|Platform 1 - Refinery|16|Bomb Ashes, Storm Staff|Bomb Shell|Bomb Fragment|https://finalfantasy.fandom.com/wiki/Pineapple_(Final_Fantasy_XII)
Dreadguard|309|5|The Feywood|Wall of Dancing Shadow|46|Feathered Trophy|Mirror Scale||https://finalfantasy.fandom.com/wiki/Dreadguard_(Final_Fantasy_XII)
Bombshell|310|5|Lhusu Mines|Lasche Span (southern section)|60|Yagyu Darkblade, Bomb Ashes|Mallet||https://finalfantasy.fandom.com/wiki/Bombshell_(Final_Fantasy_XII)
Crypt Bunny|311|3|The Feywood|Walk of Stolen Truths|45|Drab Wool, Muramasa|Holy Mote||https://finalfantasy.fandom.com/wiki/Crypt_Bunny
Megabomb|312|3|Nam-Yensa Sandsea|Demesne of the Sandqueen|18|Bomb Ashes, Bomb Shell|Bomb Fragment|Scorpio Gem|https://finalfantasy.fandom.com/wiki/Megabomb
Spee|313|5|The Salikawood|Sun-dappled Path|36|Drab Wool, Blood Wool|Stardust|Claymore|https://finalfantasy.fandom.com/wiki/Spee
Matriarch Bomb|314|5|Stilshrine of Miriam|Ward of Measure|31|Bomb Ashes, Bomb Shell|Scorpio Gem|Bomb Fragment|https://finalfantasy.fandom.com/wiki/Matriarch_Bomb
Rain Dancer|315|5|Giza Plains|Rains|23|Fish Scale, Ichthon Scale|Miter|Dorsal Fin|https://finalfantasy.fandom.com/wiki/Rain_Dancer
Ripe Rampager|316|5|Dalmasca Estersand|Yardang Labyrinth|4|Pebble, Calot Hat|Screamroot|Four-Leaf Clover|https://finalfantasy.fandom.com/wiki/Ripe_Rampager_(Final_Fantasy_XII)
Razorfin|317|5|Garamsythe Waterway|North Spur Stairway|4|Fish Scale, Iron Sword|Water Crystal|Ichthon Scale|https://finalfantasy.fandom.com/wiki/Razorfin
Killbug|318|4|Ozmone Plains|The Switchback|44|Metallic Trophy|Knot of Rust||https://finalfantasy.fandom.com/wiki/Killbug
Aspara|319|2|Phon Coast|The Mauleia Strand|37|Fish Scale, Pisces Gem|Empyrean Rod|Dorsal Fin|https://finalfantasy.fandom.com/wiki/Apsara
Minibug|320|5|Barheim Passage|East-West Bypass|46|Mace of Zeus|Wrath of Gods||https://finalfantasy.fandom.com/wiki/Minibug
Rageclaw|321|3|The Salikawood|Piebald Path|36|Sickle Trophy|Sickle-Blade||https://finalfantasy.fandom.com/wiki/Rageclaw_(Final_Fantasy_XII)
Ithuno|322|5|Barheim Passage|Special Op Sector 5|41|Iron Scraps, Iron Ore|Deathbringer||https://finalfantasy.fandom.com/wiki/Ithuno
Biding Mantis|323|4|Golmore Jungle|The Needlebrake|47|Scythe Trophy|Tattered Garment||https://finalfantasy.fandom.com/wiki/Biding_Mantis
Kris|324|5|Tchita Uplands|The Highlands|38|Odiferous Trophy|Putrid Liquid||https://finalfantasy.fandom.com/wiki/Kris_(Final_Fantasy_XII)
Wood Toad|325|5|The Salikawood|Corridor of Ages|35|Horn, Platinum Helm|Solid Horn|Frogspawn|https://finalfantasy.fandom.com/wiki/Wood_Toad
